"Prebivalstvo, staro 15 ali veè let, po statusu aktivnosti, spolu in izobrazbi, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"IZOBRAZBA";"STATUS AKTIVNOSTI";"SPOL";"2013";"2014";"2015";"2016";"2017";"2018"
"Pomurska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";36914;35806;34654;33587;32490;31455
"Pomurska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3683;3521;3400;3275;3146;3005
"Pomurska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";33231;32285;31254;30312;29344;28450
"Pomurska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";51591;51094;51280;51241;50922;50963
"Pomurska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";23806;23719;23825;23713;23526;23443
"Pomurska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";27785;27375;27455;27528;27396;27520
"Pomurska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";14074;14835;15363;15956;16816;17074
"Pomurska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";7046;7687;8043;8386;8775;8946
"Pomurska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";6333;6398;6542;6771;7126;7189
"Pomurska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";695;750;778;799;915;939
"Podravska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";74197;72068;69734;67160;65146;63227
"Podravska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";10409;9892;9431;8986;8605;8194
"Podravska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";63788;62176;60303;58174;56541;55033
"Podravska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";157142;155890;155944;155703;154358;154645
"Podravska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";67685;67374;67116;66777;66274;66211
"Podravska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";89457;88516;88828;88926;88084;88434
"Podravska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";49303;52500;54291;56060;58578;59872
"Podravska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";23236;25741;26875;27914;28941;29663
"Podravska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";22713;23194;23725;24286;25248;25712
"Podravska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3354;3565;3691;3860;4389;4497
"Koroška";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";17984;17557;17003;16564;15989;15478
"Koroška";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3476;3334;3162;2997;2861;2718
"Koroška";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";14508;14223;13841;13567;13128;12760
"Koroška";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";34230;33702;33663;33544;33329;33403
"Koroška";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";17071;16946;16861;16757;16690;16589
"Koroška";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";17159;16756;16802;16787;16639;16814
"Koroška";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9589;10101;10468;10836;11307;11519
"Koroška";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";4855;5311;5545;5741;6006;6114
"Koroška";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";4267;4303;4425;4567;4677;4780
"Koroška";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";467;487;498;528;624;625
"Savinjska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";65245;63844;60609;58936;57289;55754
"Savinjska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9237;8828;8189;7809;7502;7182
"Savinjska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";56008;55016;52420;51127;49787;48572
"Savinjska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";119594;118162;115342;115479;115263;115727
"Savinjska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";57198;57122;55637;55519;55662;55669
"Savinjska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";62396;61040;59705;59960;59601;60058
"Savinjska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";36931;39148;39884;41505;43677;44703
"Savinjska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";18253;20127;20699;21762;22901;23416
"Savinjska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";16560;16724;16834;17256;17923;18362
"Savinjska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";2118;2297;2351;2487;2853;2925
"Zasavska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";11587;11296;14678;14167;13657;13203
"Zasavska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";1816;1726;2159;2031;1913;1832
"Zasavska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9771;9570;12519;12136;11744;11371
"Zasavska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";20533;20101;26683;26628;26527;26497
"Zasavska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9363;9180;11872;11844;11809;11745
"Zasavska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";11170;10921;14811;14784;14718;14752
"Zasavska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";5716;5964;8346;8629;9038;9228
"Zasavska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3024;3281;4597;4803;4989;5081
"Zasavska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";2423;2407;3343;3391;3556;3648
"Zasavska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";269;276;406;435;493;499
"Posavska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";18561;18069;19016;18420;17845;17382
"Posavska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3585;3420;3448;3285;3152;2984
"Posavska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";14976;14649;15568;15135;14693;14398
"Posavska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";32468;32064;34712;34889;34667;34663
"Posavska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";15618;15556;16637;16713;16586;16452
"Posavska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";16850;16508;18075;18176;18081;18211
"Posavska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9266;9812;11026;11424;12023;12253
"Posavska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";4599;5100;5771;6002;6298;6417
"Posavska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";4305;4321;4807;4941;5168;5271
"Posavska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";362;391;448;481;557;565
"Jugovzhodna Slovenija";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";37742;36811;35631;34619;33794;32934
"Jugovzhodna Slovenija";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";7511;7129;6767;6491;6216;5907
"Jugovzhodna Slovenija";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";30231;29682;28864;28128;27578;27027
"Jugovzhodna Slovenija";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";62705;62073;62112;62126;61870;61973
"Jugovzhodna Slovenija";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";29422;29317;29209;29099;29038;28857
"Jugovzhodna Slovenija";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";33283;32756;32903;33027;32832;33116
"Jugovzhodna Slovenija";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";20206;21424;22314;23318;24410;25037
"Jugovzhodna Slovenija";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";10058;11203;11770;12393;12947;13295
"Jugovzhodna Slovenija";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9091;9066;9355;9662;10060;10303
"Jugovzhodna Slovenija";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";1057;1155;1189;1263;1403;1439
"Osrednjeslovenska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";102943;101271;95458;93226;90977;88872
"Osrednjeslovenska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";11483;11058;10093;9615;9185;8819
"Osrednjeslovenska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";91460;90213;85365;83611;81792;80053
"Osrednjeslovenska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";239308;237479;229722;228994;226449;226809
"Osrednjeslovenska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";85008;84236;80987;80976;81022;80918
"Osrednjeslovenska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";154300;153243;148735;148018;145427;145891
"Osrednjeslovenska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";116512;123150;125686;130185;136602;140030
"Osrednjeslovenska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";42389;47292;49076;51539;54224;55830
"Osrednjeslovenska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";60457;61331;61738;63231;65467;66900
"Osrednjeslovenska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";13666;14527;14872;15415;16911;17300
"Gorenjska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";44748;43813;42633;41242;40091;39191
"Gorenjska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";6673;6354;6051;5752;5448;5135
"Gorenjska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";38075;37459;36582;35490;34643;34056
"Gorenjska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";93667;92299;91921;92009;91237;91090
"Gorenjska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";39328;38949;38724;38618;38382;38008
"Gorenjska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";54339;53350;53197;53391;52855;53082
"Gorenjska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";33933;35868;37216;38366;40103;40944
"Gorenjska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";14992;16516;17349;18032;18788;19243
"Gorenjska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";16423;16688;17133;17466;18111;18436
"Gorenjska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";2518;2664;2734;2868;3204;3265
"Primorsko-notranjska";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";13492;13239;12915;12481;12122;11646
"Primorsko-notranjska";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";2246;2201;2065;1944;1847;1682
"Primorsko-notranjska";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";11246;11038;10850;10537;10275;9964
"Primorsko-notranjska";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";23225;22988;23106;23195;23081;23058
"Primorsko-notranjska";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";10677;10595;10662;10691;10691;10613
"Primorsko-notranjska";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";12548;12393;12444;12504;12390;12445
"Primorsko-notranjska";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";8045;8418;8692;8946;9405;9560
"Primorsko-notranjska";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3864;4197;4395;4555;4757;4843
"Primorsko-notranjska";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";3716;3721;3779;3840;4059;4110
"Primorsko-notranjska";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";465;500;518;551;589;607
"Goriška";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";30989;30338;29586;28648;27853;26854
"Goriška";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";4178;3987;3741;3536;3378;3145
"Goriška";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";26811;26351;25845;25112;24475;23709
"Goriška";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";52146;51080;50862;50840;50384;50441
"Goriška";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";23633;23414;23264;23223;23111;23033
"Goriška";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";28513;27666;27598;27617;27273;27408
"Goriška";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";18937;19867;20521;21322;22219;22664
"Goriška";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";8516;9213;9650;10174;10633;10860
"Goriška";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9369;9529;9707;9918;10229;10423
"Goriška";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";1052;1125;1164;1230;1357;1381
"Obalno-kraška";"Osnovnošolska ali manj - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";26499;25992;25271;24558;23908;23282
"Obalno-kraška";"Brez izobrazbe, nepopolna osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";4629;4426;4187;4007;3826;3611
"Obalno-kraška";"Osnovnošolska";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";21870;21566;21084;20551;20082;19671
"Obalno-kraška";"Srednješolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";51304;51359;51088;51184;51056;51392
"Obalno-kraška";"Nižja poklicna, srednja poklicna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";20923;20697;20579;20499;20502;20576
"Obalno-kraška";"Srednja strokovna, srednja splošna";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";30381;30662;30509;30685;30554;30816
"Obalno-kraška";"Višješolska, visokošolska - Skupaj";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";19400;20550;21134;21811;22819;23380
"Obalno-kraška";"Visokošolska 1. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";8643;9530;9903;10240;10748;11045
"Obalno-kraška";"Visokošolska 2. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";9487;9639;9798;10039;10374;10585
"Obalno-kraška";"Visokošolska 3. stopnje ipd.";"Prebivalci stari 15+ let - SKUPAJ";"Spol - SKUPAJ";1270;1381;1433;1532;1697;1750
